     Year   ,Jan ,Feb ,Mar ,Apr ,May ,  Jun,Jul,Aug ,Sep ,Oct ,Nov ,Dec ,Annual 
1948,25.1,29.6,40.1,42.4,90.1,164.2,347.8,281.8,179.4,59.8,71.8,9.8,1341.9
1949,13.0,28.9,24.5,52.7,89.1,163.1,319.0,244.0,225.6,97.7,10.1,4.9,1272.4
1950,35.6,26.0,36.9,28.9,49.3,134.0,331.2,235.3,203.7,56.3,27.4,7.9,1172.5
1941-50*,27.0,24.4,29.8,42.0,71.2,165.3,322.0,264.7,192.0,72.7,29.7,15.0,1255.7
1951,16.0,12.3,45.2,55.7,59.9,160.9,253.4,222.6,124.4,73.7,31.3,5.9,1061.3
1952,10.5,20.4,38.0,32.8,66.4,165.6,286.5,256.8,120.7,79.6,9.1,21.8,1108.2
1953,30.4,10.7,25.5,38.3,47.3,162.6,321.6,301.9,179.2,84.6,12.5,8.0,1222.9
1954,38.2,37.7,17.4,23.1,53.0,143.2,295.6,232.1,248.7,73.9,3.6,13.7,1180.3
1955,22.2,4.5,24.8,31.9,74.2,178.3,236.3,320.6,218.7,151.3,26.1,9.6,1298.3
1956,19.8,11.3,32.2,31.2,84.4,211.7,363.0,260.1,165.0,152.3,42.6,12.7,1386.2
1957,39.6,17.6,29.8,40.9,72.1,155.0,306.5,277.7,132.3,65.1,27.6,14.1,1178.2
1958,13.4,18.8,19.2,36.6,79.9,123.9,320.0,325.3,229.8,119.5,29.9,14.7,1331.0
1959,32.1,24.3,21.8,25.9,75.4,168.7,377.1,266.6,239.3,120.0,25.8,5.2,1382.1
1960,13.9,2.7,35.5,20.0,56.6,159.1,318.6,253.2,180.4,69.0,31.6,8.3,1149.0
1951-60*,23.6,16.0,28.9,33.6,66.9,162.9,307.9,271.7,183.9,98.9,24.0,11.4,1229.8
1961,25.9,35.2,26.6,28.9,77.1,192.1,339.1,288.4,236.2,122.8,20.5,10.2,1403.0
1962,12.6,21.5,15.6,43.5,70.6,136.3,282.9,277.0,212.0,77.7,18.0,28.7,1196.4
1963,6.8,9.0,38.6,50.1,59.6,165.5,257.8,317.2,165.4,98.1,27.5,14.6,1210.2
1964,15.7,14.3,18.9,40.1,51.6,176.4,344.3,274.6,198.9,65.9,21.9,12.5,1235.1
1965,10.9,26.0,26.4,43.6,51.2,115.8,269.2,192.3,131.1,33.5,17.4,21.1,938.4
1966,12.8,24.1,20.3,32.0,57.0,177.4,251.9,216.1,148.8,56.7,49.3,17.6,1064.0
1967,11.2,13.4,63.3,29.1,42.4,144.9,304.6,262.9,170.4,40.3,11.4,54.4,1148.3
1968,27.9,19.5,27.5,32.4,46.7,148.0,309.6,212.0,129.3,67.7,21.6,12.0,1054.2
1969,12.3,13.8,19.5,39.7,63.2,129.8,318.7,272.4,174.9,54.1,37.2,12.1,1147.7
1970,22.5,26.9,24.9,29.2,68.3,212.8,245.2,313.6,212.1,73.9,15.8,1.7,1247.0
1961-70*,15.9,20.4,28.2,36.9,58.8,159.9,292.3,262.7,177.9,69.1,24.1,18.5,1164.4
1971,16.0,22.5,10.3,52.3,74.9,228.5,268.7,269.0,147.7,100.6,15.5,12.0,1218.0
1972,9.7,27.1,21.0,36.9,55.6,123.0,205.5,221.8,129.1,66.0,30.3,22.3,948.5
1973,19.3,20.9,19.7,27.0,56.0,147.5,279.3,312.5,182.5,114.3,17.7,17.4,1214.0
1974,15.3,12.5,19.8,32.2,63.3,122.8,280.3,232.0,142.1,102.4,10.2,10.9,1043.7
1975,14.9,18.7,27.2,27.5,49.7,177.6,308.4,290.6,228.7,120.9,22.8,3.2,1290.2
1976,11.3,23.5,23.9,35.6,44.2,155.0,297.2,295.5,144.7,32.0,54.4,7.4,1124.8
1977,20.2,10.0,13.7,67.0,83.8,187.3,326.9,247.5,147.5,83.4,67.1,16.0,1270.4
1978,12.2,27.0,44.2,32.9,58.5,210.4,292.1,284.5,161.1,48.8,48.9,18.5,1239.3
1979,20.8,34.7,29.3,20.9,51.7,141.3,239.3,211.3,135.7,50.1,74.2,14.2,1023.4
1980,12.9,22.1,32.3,34.1,54.7,229.4,298.3,267.1,145.6,50.3,23.1,19.7,1189.5
1971-80*,15.3,21.9,24.1,36.6,59.2,172.3,279.6,263.2,156.5,76.9,36.4,14.2,1156.2
1981,28.4,20.4,47.6,36.3,67.0,153.0,308.6,239.2,186.6,43.1,27.2,14.1,1171.6
1982,24.8,24.4,46.6,50.7,59.6,136.9,232.3,275.9,125.3,51.9,44.6,13.7,1086.8
1983,18.8,23.6,43.4,57.7,71.1,152.2,282.5,307.6,255.3,86.5,10.0,22.8,1331.5
1984,19.2,35.7,21.8,43.7,59.5,192.0,286.5,262.9,145.4,60.3,13.8,15.0,1155.9
1985,23.1,9.6,19.8,37.9,60.1,156.2,289.3,233.5,151.7,114.7,18.5,25.5,1140.0
1986,14.8,36.7,28.8,48.1,48.7,182.7,261.4,233.5,125.5,70.6,47.7,28.0,1126.6
1987,14.4,21.8,27.4,41.3,66.3,133.2,221.8,243.2,151.3,93.0,43.6,21.6,1078.9
1988,9.1,28.2,49.3,41.5,68.8,159.0,383.4,303.3,220.4,55.1,15.6,17.2,1351.0
1989,14.6,14.2,26.9,33.1,55.9,186.3,302.3,238.2,164.1,50.7,19.3,16.8,1122.4
1990,14.9,44.3,53.3,42.0,114.5,194.0,286.7,293.2,196.6,103.2,29.5,28.4,1400.6
1981-90*,18.2,25.9,36.5,43.2,67.2,164.6,285.5,263.1,172.2,72.9,27.0,20.3,1196.5
1991,13.8,26.3,27.8,49.2,67.5,184.2,281.4,263.2,139.8,60.4,28.8,17.5,1159.9
1992,20.1,18.7,25.4,23.5,56.2,139.2,270.2,288.0,170.3,64.3,40.3,5.1,1121.3
1993,17.2,24.3,39.3,26.1,69.5,170.8,307.5,205.4,211.2,86.8,28.2,15.5,1201.9
1994,24.2,26.8,23.9,45.0,52.1,206.0,353.4,287.9,150.7,79.9,25.6,20.1,1295.6
1995,32.3,29.2,28.1,31.4,80.7,140.6,325.7,268.8,181.1,80.2,36.7,9.0,1243.6
1996,22.8,23.1,31.4,31.1,55.6,183.4,266.4,295.4,146.4,95.9,13.3,17.0,1181.8
1997,13.9,10.0,30.2,45.1,47.0,171.6,281.5,260.0,150.1,59.0,55.5,47.5,1171.4
1998,17.8,35.9,44.1,41.6,51.5,164.3,282.1,250.0,201.1,106.1,38.7,10.5,1243.5
1999,18.4,12.0,10.8,19.1,94.3,171.3,262.7,217.8,186.1,116.0,19.7,3.8,1132.0
2000,19.0,27.0,18.6,35.0,73.5,184.5,267.6,225.2,135.3,40.6,14.7,9.6,1050.4
1991-2000*,20.0,23.3,28.0,34.7,64.8,171.6,289.9,256.2,167.2,78.9,30.2,15.6,1180.1
2001,7.2,10.3,21.3,45.5,61.3,215.1,281.1,210.0,109.2,97.7,18.5,6.0,1083.3
2002,16.8,21.0,22.9,38.9,57.7,170.1,138.9,246.2,133.9,54.4,14.7,5.2,920.8
2003,7.2,42.1,33.7,35.5,38.6,164.5,305.6,247.8,179.9,92.7,10.2,16.6,1174.5
2004,26.2,10.7,11.9,50.6,74.5,167.8,241.7,252.5,123.6,88.8,16.9,6.1,1071.3
2005,40.3,46.0,42.6,38.5,50.3,146.9,340.3,192.0,200.7,96.2,27.2,11.5,1232.5
2006,17.4,11.5,34.4,30.4,80.7,151.4,298.5,302.6,175.4,52.3,32.1,12.7,1199.4
2007,2.7,35.7,34.4,33.6,50.4,201.4,295.8,259.2,215.1,55.3,15.2,16.7,1215.6
2008,22.4,19.2,37.7,32.6,45.2,208.8,250.0,264.3,165.7,50.5,25.1,10.8,1132.1
2009,11.8,13.2,15.2,26.0,56.6,86.5,283.7,191.9,140.3,70.1,53.2,10.8,959.3
2010,7.5,16.3,16.6,42.1,69.0,140.9,293.6,272.3,195.6,67.7,56.7,22.1,1200.5
2011,7.7,26.3,21.4,41.0,51.6,182.8,243.0,284.6,190.5,36.5,18.4,6.5,1110.1
2012,28.5,10.8,10.6,48.5,32.1,125.0,258.1,263.9,197.7,59.8,28.9,9.6,1073.5
2013,10.0,36.9,14.5,29.4,56.5,217.9,305.4,248.4,148.4,128.9,13.7,6.2,1216.2
2014,17.3,25.9,32.6,20.2,72.8,95.5,258.8,237.9,187.9,60.9,13.5,10.4,1033.7
2015,17.4,21.0,62.0,69.4,53.8,192.8,242.4,205.2,131.8,42.9,39.4,15.0,1093.2
2016,7.8,10.1,30.8,31.4,68.1,147.6,309.2,239.6,168.0,54.5,7.7,8.4,1083.1
2017,26.9,12.4,29.0,44.3,56.1,172.5,290.5,229.6,153.3,81.5,14.7,16.2,1127.1
2018,2.9,12.7,16.5,39.3,64.6,155.7,274.1,240.2,132.7,35.6,21.0,14.7,1020.8
